127.0.0.1 - - [02/May/2018:11:36:20 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:01 -0300] "GET /Vendas/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:01 -0300] "GET /Vendas/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.0 HTTP/1.1" 200 300675
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:01 -0300] "GET /Vendas/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.0 HTTP/1.1" 200 220756
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:01 -0300] "GET /Vendas/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.0 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:01 -0300] "GET /Vendas/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=5.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:01 -0300] "GET /Vendas/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=5.0 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:01 -0300] "GET /Vendas/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=5.0 HTTP/1.1" 200 55469
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:01 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:01 -0300] "GET /Vendas/faces/pages/RES_NOT_FOUND HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:01 -0300] "GET /Vendas/faces/javax.faces.resource/primefaces-sam/images/ui-bg_glass_55_fbf9ee_1x400.png HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:01 -0300] "GET /Vendas/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=5.0 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [02/May/2018:11:37:02 -0300] "GET /Vendas/faces/javax.faces.resource/primefaces-sam/images/ui-icons_2e83ff_256x240.png HTTP/1.1" 200 4369
